id,title,author,included_excluded,resource_type,resource_format,original_url,clean_url,final_url,kind,raw_path,text_path,status,text_len,error
1,"Hosting Accessible Online Events, Meetings and Webinars",Autistica,Included,Webpage,Webpage,https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,https://www.autistica.org.uk/what-is-autism/lifeskills-for-managing-your-autism/accessible-online-events,html,data/raw/downloads/1_Hosting_Accessible_Online_Events_Meetings_and_Webinars.html,data/processed/text/1_Hosting_Accessible_Online_Events_Meetings_and_Webinars.txt,OK,6843,
5,"All Welcome Guide to Inclusive, Accessible and Sustainable Events",British Academy of Management,Included,PDF,Document,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,html,data/raw/downloads/5_All_Welcome_Guide_to_Inclusive_Accessible_and_Sustainable_Events.html,data/processed/text/5_All_Welcome_Guide_to_Inclusive_Accessible_and_Sustainable_Events.txt,OK,2664,
7,"We Are the Ones That We Seek: Equality, Diversity and Inclusion In CREDS",Sarah Higginson,Included,Webpage,Webpage,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,html,data/raw/downloads/7_We_Are_the_Ones_That_We_Seek_Equality_Diversity_and_Inclusion_In_CREDS.html,data/processed/text/7_We_Are_the_Ones_That_We_Seek_Equality_Diversity_and_Inclusion_In_CREDS.txt,OK,6362,
8,Diverse Panel Pledge,CGIAR,Included,Webpage,Webpage,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,,,,,FAILED,0,404 Client Error: Not Found for url: https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/
9,Inclusive Language: Words To Use and Avoid When Writing About Disability,"Disability Unit, GOV.UK",Included,Webpage,Webpage,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,html,data/raw/downloads/9_Inclusive_Language_Words_To_Use_and_Avoid_When_Writing_About_Disability.html,data/processed/text/9_Inclusive_Language_Words_To_Use_and_Avoid_When_Writing_About_Disability.txt,OK,3336,
11,"The Equality Act 2010: Positive Action Through Bursaries, Scholarships and Prizes",Equality Change Unit,Included,Policy Document,Document,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,pdf,data/raw/downloads/11_The_Equality_Act_2010_Positive_Action_Through_Bursaries_Scholarships_and_Prizes.pdf,data/processed/text/11_The_Equality_Act_2010_Positive_Action_Through_Bursaries_Scholarships_and_Prizes.txt,OK,22293,
13,The Broken Pipeline Report: Barriers to Black PhD Students Accessing Research Council Funding,"Paulette Williams, Sukhi Bath, Dr. Jason Arday and Chantelle Lewis",Included,Report,Document,https://www.leadingroutes.org/the-broken-pipeline-report/,https://www.leadingroutes.org/the-broken-pipeline-report/,https://www.leadingroutes.org/the-broken-pipeline-report/,html,data/raw/downloads/13_The_Broken_Pipeline_Report_Barriers_to_Black_PhD_Students_Accessing_Research_Council_Funding.html,data/processed/text/13_The_Broken_Pipeline_Report_Barriers_to_Black_PhD_Students_Accessing_Research_Council_Funding.txt,OK,1916,
15,LMS Advice on Diversity of Speakers at Conferences and Seminars,Women and Diversity in Mathematics,Included,Webpage,Webpage,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,html,data/raw/downloads/15_LMS_Advice_on_Diversity_of_Speakers_at_Conferences_and_Seminars.html,data/processed/text/15_LMS_Advice_on_Diversity_of_Speakers_at_Conferences_and_Seminars.txt,OK,3925,
17,Reports And Policy Submissions,London Mathematical Society†,Included,Webpage,Webpage,https://www.lms.ac.uk/policy/reports-and-policy-submissions†,https://www.lms.ac.uk/policy/reports-and-policy-submissions%E2%80%A0,,,,,FAILED,0,404 Client Error: Not Found for url: https://www.lms.ac.uk/policy/reports-and-policy-submissions%E2%80%A0
18,"Diversity Statements, Policy, Advice",London Mathematical Society†,Included,Webpage,Webpage,https://www.lms.ac.uk/women/diversity-statements-policy-advice†,https://www.lms.ac.uk/women/diversity-statements-policy-advice%E2%80%A0,,,,,FAILED,0,404 Client Error: Not Found for url: https://www.lms.ac.uk/women/diversity-statements-policy-advice%E2%80%A0
